Complex;Mutatiegraad
1;0,027
6;0,089
9;0,147
12;0,063
13;0,057
16;0,005
18;0,024
19;0
20;0
21;0
22;0,024
23;0
24;0
25;0,024
26;0,024
27;0
28;0
29;0
30;0,022
33;0
34;0,009
36;0
37;0
38;0
39;0
41;0,016
42;0,031
43;0
44;0
45;0,043
46;0,011
47;0
48;0,024
49;0
50;0,03
51;0,036
52;0
53;0
55;0
56;0
57;0
58;0,014
59;0,031
60;0
61;0,048
62;0,036
63;0,014
64;0
65;0
67;0,036
68;0,036
69;0
70;0
72;0,014
73;0
74;0,036
75;0
77;0,071
78;0
79;0,036
80;0
81;0
82;0
83;0
84;0
85;0,123
86;0,031
87;0,101
89;0,036
90;0
91;0,167
92;0,007
93;0,008
94;0,167
95;0,038
96;0,036
97;0,024
98;0,024
99;0
100;0,036
101;0,009
102;0,071
103;0,02
104;0,014
105;0,11
106;0,06
107;0,057
108;0,051
109;0,061
110;0,071
111;0
112;0,049
113;0
114;0
115;0,051
116;0,025
118;0,014
119;0,036
120;0,024
121;0,167
124;0,024
125;0,107
126;0,049
127;0,02
128;0,048
129;0,018
130;0
131;0,024
132;0,027
133;0,018
134;0,071
135;0,018
137;0,024
138;0,024
139;0,011
140;0,042
141;0,023
143;0,054
144;0,036
145;0,09
146;0
147;0
148;0,014
149;0,079
150;0,054
151;0,004
152;0,01
154;0
155;0
156;0,071
157;0,071
158;0,039
159;0,031
160;0,027
161;0,076
162;0,041
163;0,033
164;0,033
166;0,043
167;0,071
168;0,029
169;0,056
170;0,031
171;0
172;0,043
173;0,077
174;0,018
175;0,031
176;0,039
177;0,045
178;0,057
179;0,066
180;0,082
182;0,041
183;0,047
184;0,143
185;0,012
186;0
187;0,089
188;0,112
189;0,091
190;0,036
191;0
192;0,02
193;0
194;0
195;0
196;0,048
197;0,053
198;0,018
199;0,071
200;0,057
201;0,102
202;0,036
203;0,022
204;0,043
205;0,024
206;0
207;0
208;0
209;0,026
210;0,071
211;0,054
212;0,042
213;0,024
215;0,027
216;0
217;0,107
218;0,024
219;0,04
220;0,029
221;0,054
222;0
223;0,019
225;0,035
226;0,073
227;0,054
228;0,041
229;0,028
230;0,026
231;0,02
232;0
233;0,01
234;0,026
235;0,01
236;0,116
237;0,021
238;0
239;0,107
240;0
242;0,024
243;0,071
244;0
246;0,041
247;0,025
248;0,038
249;0,024
250;0,038
251;0,036
252;0,024
253;0,042
254;0,032
255;0,096
256;0,036
257;0,051
258;0,027
259;0,018
260;0,071
261;0,071
262;0,019
263;0,023
264;0,032
265;0,029
266;0,026
267;0,031
268;0,093
269;0,098
270;0,017
271;0,011
272;0,053
273;0,095
274;0,119
275;0,015
276;0,045
277;0,036
279;0,026
280;0,07
281;0,049
282;0
283;0,071
284;0,086
285;0,075
286;0,065
287;0,037
288;0
289;0,014
290;0,005
291;0,028
292;0,055
293;0,036
294;0,067
295;0,026
297;0,031
298;0,068
299;0,01
300;0,072
301;0,043
302;0,031
303;0,01
304;0,179
305;0,036
306;0,055
307;0,013
308;0,02
309;0,021
310;0,048
311;0,056
312;0,043
313;0,041
314;0,046
315;0,036
316;0,046
318;0,006
319;0,022
320;0,012
321;0,003
322;0,04
323;0,019
324;0,029
325;0,027
326;0,116
327;0,011
328;0,018
329;0,026
330;0,038
331;0,034
333;0,045
334;0
335;0
336;0,011
338;0,02
339;0,029
341;0,019
342;0,029
343;0,014
346;0,007
347;0,015
348;0,065
349;0
350;0,024
351;0,083
352;0,071
353;0,062
354;0,079
355;0,086
357;0,024
358;0,036
359;0,029
360;0,051
361;0,067
362;0
363;0,013
364;0,008
365;0,036
366;0,071
367;0,024
368;0,021
369;0,018
370;0,036
371;0,073
372;0,047
373;0,06
375;0,04
