Huurobject;Mutatiegraad
HO 3000/1/1;0,071
HO 3000/1/10;0
HO 3000/1/11;0
HO 3000/1/12;0
HO 3000/1/13;0,143
HO 3000/1/14;0
HO 3000/1/15;0
HO 3000/1/16;0,071
HO 3000/1/17;0
HO 3000/1/18;0
HO 3000/1/19;0,071
HO 3000/1/2;0
HO 3000/1/20;0
HO 3000/1/21;0
HO 3000/1/22;0
HO 3000/1/23;0
HO 3000/1/24;0
HO 3000/1/25;0
HO 3000/1/26;0
HO 3000/1/27;0
HO 3000/1/28;0
HO 3000/1/29;0,071
HO 3000/1/3;0,143
HO 3000/1/30;0
HO 3000/1/31;0,071
HO 3000/1/32;0
HO 3000/1/33;0,071
HO 3000/1/34;0
HO 3000/1/4;0,071
HO 3000/1/5;0
HO 3000/1/6;0
HO 3000/1/7;0,071
HO 3000/1/8;0,071
HO 3000/1/9;0
HO 3000/100/1;0
HO 3000/100/10;0
HO 3000/100/11;0,071
HO 3000/100/12;0
HO 3000/100/13;0,071
HO 3000/100/14;0
HO 3000/100/15;0
HO 3000/100/16;0,071
HO 3000/100/2;0
HO 3000/100/3;0
HO 3000/100/4;0
HO 3000/100/5;0,071
HO 3000/100/6;0,071
HO 3000/100/7;0,071
HO 3000/100/8;0
HO 3000/100/9;0,143
HO 3000/1000/1;0,214
HO 3000/1000/2;0,143
HO 3000/1000/3;0,143
HO 3000/1000/4;0
HO 3000/1000/5;0,071
HO 3000/1000/6;0
HO 3000/1001/1;0
HO 3000/1001/2;0,071
HO 3000/1001/3;0,071
HO 3000/1002/1;0,071
HO 3000/1002/2;0
HO 3000/1002/3;0,071
HO 3000/1003/1;0
HO 3000/1003/2;0,071
HO 3000/1003/3;0,071
HO 3000/1003/4;0
HO 3000/1003/5;0,071
HO 3000/1003/6;0,071
HO 3000/1004/1;0,071
HO 3000/1004/2;0,071
HO 3000/1004/3;0,071
HO 3000/1004/4;0
HO 3000/1004/5;0
HO 3000/1004/6;0,071
HO 3000/1004/7;0,071
HO 3000/1004/8;0
HO 3000/1006/1;0
HO 3000/1006/2;0,071
HO 3000/1006/3;0,071
HO 3000/1006/4;0
HO 3000/1006/5;0
HO 3000/1006/6;0,071
HO 3000/1007/1;0,214
HO 3000/1007/10;0,071
HO 3000/1007/11;0,071
HO 3000/1007/12;0,071
HO 3000/1007/13;0,071
HO 3000/1007/14;0,143
HO 3000/1007/15;0
HO 3000/1007/16;0,143
HO 3000/1007/17;0,143
HO 3000/1007/18;0,071
HO 3000/1007/19;0,071
HO 3000/1007/2;0
HO 3000/1007/20;0,286
HO 3000/1007/21;0,071
HO 3000/1007/22;0,214
HO 3000/1007/23;0,071
HO 3000/1007/24;0,143
HO 3000/1007/25;0,071
HO 3000/1007/26;0
HO 3000/1007/27;0,143
HO 3000/1007/28;0,071
HO 3000/1007/29;0,071
HO 3000/1007/3;0,071
HO 3000/1007/30;0,143
HO 3000/1007/4;0
HO 3000/1007/5;0,071
HO 3000/1007/6;0,071
HO 3000/1007/7;0
HO 3000/1007/8;0,071
HO 3000/1007/9;0
HO 3000/1008/1;0
HO 3000/1008/10;0,071
HO 3000/1008/11;0,071
HO 3000/1008/12;0
HO 3000/1008/13;0
HO 3000/1008/14;0,071
HO 3000/1008/15;0
HO 3000/1008/16;0,071
HO 3000/1008/17;0,071
HO 3000/1008/18;0
HO 3000/1008/19;0,143
HO 3000/1008/2;0,071
HO 3000/1008/20;0,071
HO 3000/1008/21;0,071
HO 3000/1008/22;0,071
HO 3000/1008/23;0
HO 3000/1008/24;0,214
HO 3000/1008/25;0,071
HO 3000/1008/3;0,071
HO 3000/1008/4;0
HO 3000/1008/5;0
HO 3000/1008/6;0,071
HO 3000/1008/7;0
HO 3000/1008/8;0,071
HO 3000/1008/9;0
HO 3000/1009/1;0,071
HO 3000/1009/10;0,143
HO 3000/1009/11;0
HO 3000/1009/12;0
HO 3000/1009/13;0,071
HO 3000/1009/14;0,071
HO 3000/1009/15;0
HO 3000/1009/16;0
HO 3000/1009/17;0
HO 3000/1009/18;0,071
HO 3000/1009/19;0
HO 3000/1009/2;0
HO 3000/1009/20;0,071
HO 3000/1009/21;0,143
HO 3000/1009/22;0,071
HO 3000/1009/23;0
HO 3000/1009/24;0,071
HO 3000/1009/3;0,071
HO 3000/1009/4;0,214
HO 3000/1009/5;0
HO 3000/1009/6;0,143
HO 3000/1009/7;0,071
HO 3000/1009/8;0,214
HO 3000/1009/9;0,214
HO 3000/101/1;0
HO 3000/101/2;0
HO 3000/101/3;0
HO 3000/101/4;0
HO 3000/101/5;0
HO 3000/101/6;0,071
HO 3000/101/7;0
HO 3000/101/8;0
HO 3000/1010/1;0,071
HO 3000/1010/10;0
HO 3000/1010/11;0,143
HO 3000/1010/12;0,143
HO 3000/1010/13;0,071
HO 3000/1010/14;0,214
HO 3000/1010/15;0
HO 3000/1010/16;0,071
HO 3000/1010/17;0,071
HO 3000/1010/2;0,214
HO 3000/1010/3;0,143
HO 3000/1010/4;0,357
HO 3000/1010/5;0
HO 3000/1010/6;0,143
